temperature,max_tokens,avg_latency_ms,avg_output_tokens,avg_summary_length,avg_risk_flags,truncation_rate,n_samples
0.0,128,2148.7,128,409.5,1,1.0,8
0.0,256,3124.7,224.9,730.4,5.25,0.25,8
0.0,512,3571.2,234.9,761.5,5.75,0.0,8
0.2,128,2046.0,128,415.4,0.62,1.0,8
0.2,256,3176.4,223.2,715.9,4.88,0.125,8
0.2,512,3676.0,240.6,796.8,5.62,0.0,8
0.5,128,1790.5,128,423.1,1,1.0,8
0.5,256,3285.8,222.9,731,5.25,0.375,8
0.5,512,3657.8,221.4,713.5,5.88,0.0,8
0.8,128,1893.0,128,427,1,1.0,8
0.8,256,3079.9,218.4,700.5,4.88,0.25,8
0.8,512,3397.0,228.1,768,5.25,0.0,8
