patient_id,temperature,max_tokens,latency_ms,output_tokens,summary_length,risk_flags,finish_reason
PT-001,0.0,128,2275.6,128,398,0,length
PT-002,0.0,128,2182.0,128,431,1,length
PT-003,0.0,128,2128.8,128,440,1,length
PT-004,0.0,128,2161.9,128,391,0,length
PT-005,0.0,128,2171.7,128,339,0,length
PT-006,0.0,128,2118.4,128,464,1,length
PT-007,0.0,128,2040.0,128,405,2,length
PT-008,0.0,128,2110.8,128,408,3,length
PT-001,0.0,256,3634.2,244,717,6,stop
PT-002,0.0,256,2604.7,189,621,5,stop
PT-003,0.0,256,2644.7,187,649,5,stop
PT-004,0.0,256,3439.6,256,842,5,length
PT-005,0.0,256,3390.5,256,709,3,length
PT-006,0.0,256,3304.9,236,807,7,stop
PT-007,0.0,256,3354.3,243,818,7,stop
PT-008,0.0,256,2624.5,188,680,4,stop
PT-001,0.0,512,3434.6,244,717,6,stop
PT-002,0.0,512,2842.6,189,621,5,stop
PT-003,0.0,512,2814.4,187,649,5,stop
PT-004,0.0,512,4181.7,268,888,5,stop
PT-005,0.0,512,4965.4,324,912,7,stop
PT-006,0.0,512,3627.6,236,807,7,stop
PT-007,0.0,512,3786.9,243,818,7,stop
PT-008,0.0,512,2916.6,188,680,4,stop
PT-001,0.2,128,2205.6,128,416,0,length
PT-002,0.2,128,2062.1,128,412,1,length
PT-003,0.2,128,1939.7,128,443,1,length
PT-004,0.2,128,1968.5,128,438,0,length
PT-005,0.2,128,1948.4,128,339,0,length
PT-006,0.2,128,2141.5,128,403,1,length
PT-007,0.2,128,2085.1,128,454,0,length
PT-008,0.2,128,2017.3,128,418,2,length
PT-001,0.2,256,3459.7,249,754,7,stop
PT-002,0.2,256,2819.2,204,672,5,stop
PT-003,0.2,256,2796.0,199,675,5,stop
PT-004,0.2,256,3096.2,221,725,4,stop
PT-005,0.2,256,3558.0,256,655,2,length
PT-006,0.2,256,3256.3,220,716,7,stop
PT-007,0.2,256,2996.2,204,673,4,stop
PT-008,0.2,256,3429.8,233,857,5,stop
PT-001,0.2,512,3940.8,271,903,6,stop
PT-002,0.2,512,3155.9,197,640,5,stop
PT-003,0.2,512,2950.2,187,691,4,stop
PT-004,0.2,512,4233.8,270,912,5,stop
PT-005,0.2,512,4911.0,321,885,7,stop
PT-006,0.2,512,3440.5,241,824,7,stop
PT-007,0.2,512,3316.2,213,711,6,stop
PT-008,0.2,512,3459.6,225,808,5,stop
PT-001,0.5,128,1911.0,128,423,1,length
PT-002,0.5,128,1704.1,128,433,2,length
PT-003,0.5,128,1639.5,128,443,1,length
PT-004,0.5,128,1757.5,128,400,0,length
PT-005,0.5,128,1782.0,128,405,0,length
PT-006,0.5,128,1861.3,128,435,0,length
PT-007,0.5,128,1840.9,128,442,0,length
PT-008,0.5,128,1827.3,128,404,4,length
PT-001,0.5,256,3276.5,242,787,5,stop
PT-002,0.5,256,3084.1,226,738,6,stop
PT-003,0.5,256,2576.6,166,605,5,stop
PT-004,0.5,256,3862.9,256,852,5,length
PT-005,0.5,256,3778.0,256,714,2,length
PT-006,0.5,256,3437.3,229,770,7,stop
PT-007,0.5,256,3766.5,256,858,8,length
PT-008,0.5,256,2504.7,152,524,4,stop
PT-001,0.5,512,3386.9,201,599,7,stop
PT-002,0.5,512,3437.3,210,710,6,stop
PT-003,0.5,512,2879.3,175,611,5,stop
PT-004,0.5,512,3800.8,235,837,5,stop
PT-005,0.5,512,5171.5,333,835,7,stop
PT-006,0.5,512,4071.1,242,845,7,stop
PT-007,0.5,512,3292.7,196,623,6,stop
PT-008,0.5,512,3223.0,179,648,4,stop
PT-001,0.8,128,2182.9,128,447,0,length
PT-002,0.8,128,1955.1,128,412,3,length
PT-003,0.8,128,2375.5,128,449,1,length
PT-004,0.8,128,1568.4,128,406,0,length
PT-005,0.8,128,1599.0,128,451,2,length
PT-006,0.8,128,1832.6,128,378,2,length
PT-007,0.8,128,1773.4,128,415,0,length
PT-008,0.8,128,1857.4,128,458,0,length
PT-001,0.8,256,3078.5,222,662,6,stop
PT-002,0.8,256,2745.8,200,657,6,stop
PT-003,0.8,256,2763.3,193,665,5,stop
PT-004,0.8,256,3495.6,256,860,3,length
PT-005,0.8,256,3801.5,256,636,3,length
PT-006,0.8,256,3305.2,235,741,7,stop
PT-007,0.8,256,3175.9,222,771,5,stop
PT-008,0.8,256,2273.7,163,612,4,stop
PT-001,0.8,512,3484.2,267,851,6,stop
PT-002,0.8,512,4287.9,289,1005,6,stop
PT-003,0.8,512,2252.4,147,569,5,stop
PT-004,0.8,512,3518.6,238,799,5,stop
PT-005,0.8,512,3869.7,259,847,7,stop
PT-006,0.8,512,3022.4,192,627,5,stop
PT-007,0.8,512,4186.3,262,867,5,stop
PT-008,0.8,512,2554.8,171,579,3,stop
